"tva","code_magasin","code_ticket","date","heure","sous_total","total_tva","total_ttc"
"FR38330357112","60641","20260302_141721","02/03/26","14:17:13",15.71,1.9,17.61
"FR38330357112","60641","20260402_115644","02/04/26","11:56:40",39.76,3.93,43.69
"FR38330357112","60641","20251103_190038","03/11/25","19:00:30",4.91,0.65,5.56
"FR38330357112","60641","20260204_174024","04/02/26","17:40:17",12.03,1.08,13.11
"FR38330357112","60641","20260304_151502","04/03/26","15:14:51",15.77,1.3,17.07
"FR41420306474","60068","20260105_142133","05/01/26","14:21:27",9.42,0.52,9.94
"FR38330357112","60641","20260305_115720","05/03/26","11:57:13",11.44,1.14,12.58
"FR38330357112","60641","20251205_180146","05/12/25","18:01:32",17.96,1.67,19.63
"FR38330357112","60641","20260106_173443","06/01/26","17:34:40",36.76,4.5,41.26
"FR38330357112","60641","20260206_175422","06/02/26","17:54:14",5.18,1.04,6.22
"FR38330357112","60641","20260307_111507","07/03/26","11:14:59",11.46,2.21,13.67
"FR38330357112","60641","20260307_162552","07/03/26","16:25:40",39.8,4.54,44.34
"FR38330357112","60641","20260407_170330","07/04/26","17:03:27",6.3,0.77,7.07
"FR38330357112","60641","20260408_131729","08/04/26","13:17:16",3.93,0.75,4.68
"FR38330357112","60641","20251209_173637","09/12/25","17:36:29",45.17,4.65,49.82
"FR38330357112","60641","20260110_110300","10/01/26","11:02:55",77.47,6.52,83.99
"FR38330357112","60641","20260312_120924","12/03/26","12:09:20",71.09,7.83,78.92
"FR38330357112","60641","20260312_141331","12/03/26","14:12:53",42.23,5.14,47.37
"FR38330357112","60641","20251212_172801","12/12/25","17:27:58",18.85,3.77,22.62
"FR38330357112","60641","20260313_125711","13/03/26","12:56:57",26.82,2.27,29.09
"FR38330357112","60641","20251213_115231","13/12/25","11:52:24",100.34,10.41,110.75
"FR38330357112","60641","20251014_171504","14/10/25","17:14:39",132.47,14.05,146.52
"FR38330357112","60641","20251016_162552","16/10/25","16:25:46",11.01,1.88,12.89
"FR38330357112","60641","20260117_093848","17/01/26","09:38:36",70.81,7.78,78.59
"FR38330357112","60641",NA,"20/02/26","12:09:11",20.46,3.17,23.63
"FR38330357112","60641","20260220_120915","20/02/26","12:09:11",20.46,3.17,23.63
"FR38330357112","60641","20260320_124656","20/03/26","12:46:53",11.53,0.98,12.51
"FR38330357112","60641","20260221_113614","21/02/26","11:36:11",4.42,0.93,5.35
"FR38330357112","60641","20251222_151313","22/12/25","15:13:06",30.05,2.88,32.93
"FR38330357112","60641","20260123_123545","23/01/26","12:35:41",13.14,0.92,14.06
"FR38330357112","60641","20260123_124222","23/01/26","12:42:16",2.49,0.5,2.99
"FR38330357112","60641","20251224_144340","24/12/25","14:43:23",35.21,6.96,42.17
"FR38330357112","60641","20251027_114056","27/10/25","11:40:39",41.07,2.95,44.02
"FR38330357112","60641","20251128_115207","28/11/25","11:51:58",28.1,3.92,32.02
"FR38330357112","60641","20260330_152332","30/03/26","15:23:27",30.2,3.4,33.6
"FR38330357112","60641","20251030_171306","30/10/25","17:13:02",16.57,2.64,19.21
